,AbsBrC370
2018-01-01,1.6052560417412367
2018-01-02,4.739644300243549
2018-01-03,2.4126482318750018
2018-01-04,1.6395942854150631
2018-01-05,3.9951572923964633
2018-01-06,1.614503375045828
2018-01-07,1.1060459635546684
2018-01-08,6.611772865774623
2018-01-09,1.7609955110915816
2018-01-10,6.571053729023904
2018-01-11,11.709318298783865
2018-01-12,19.18062634958954
2018-01-13,11.77758841625545
2018-01-14,6.788502285627128
2018-01-15,7.106227111714975
2018-01-16,1.222367845183441
2018-01-17,1.9916902076003813
2018-01-18,3.868069392253771
2018-01-19,5.548517447772864
2018-01-20,2.599122958833401
2018-01-21,1.5280866510279445
2018-01-22,2.063649630027605
2018-01-23,9.656461375915226
2018-01-24,10.066071168170652
2018-01-25,1.6258192179192072
2018-01-26,2.028605519256258
2018-01-27,9.746953469054048
2018-01-28,17.298573452770036
2018-01-29,21.89697429297795
2018-01-30,33.41931699166506
2018-01-31,13.104765012915188
2018-02-01,5.97916903345704
2018-02-02,
2018-02-03,4.885774440663529
2018-02-04,10.82543053072135
2018-02-05,1.6513104936025156
2018-02-06,6.249812740773161
2018-02-07,
2018-02-08,5.327670844426251
2018-02-09,
2018-02-10,
2018-02-11,12.856841168511538
2018-02-12,2.700646034177618
2018-02-13,2.639230629199105
2018-02-14,
2018-02-15,
2018-02-16,
2018-02-17,
2018-02-18,26.5392673817246
2018-02-19,12.460884911315532
2018-02-20,6.570040652965656
2018-02-21,13.749384804821142
2018-02-22,21.567429450399047
2018-02-23,19.360403485948662
2018-02-24,21.421677156666604
2018-02-25,16.43946011641919
2018-02-26,8.513517836975538
2018-02-27,14.017034984782482
2018-02-28,5.663241128024166
2018-03-01,2.61227310779517
2018-03-02,5.682861473294125
2018-03-03,5.220001274030499
2018-03-04,3.175657084044363
2018-03-05,2.6587349599943635
2018-03-06,1.8752058664284688
2018-03-07,2.240936880316688
2018-03-08,4.355680159905432
2018-03-09,2.662730728857891
2018-03-10,1.2057645077034551
2018-03-11,0.9163028490652114
2018-03-12,1.7312147452082012
2018-03-13,3.147547572018572
2018-03-14,4.55596488504424
2018-03-15,2.921206173884285
2018-03-16,3.2889042389461
2018-03-17,
2018-03-18,
2018-03-19,4.4265554492331365
2018-03-20,6.949796659001617
2018-03-21,12.805956301617195
2018-03-22,6.236541473307256
2018-03-23,7.032869185743169
2018-03-24,4.519740485382264
2018-03-25,5.981735101940054
2018-03-26,4.090434084378955
2018-03-27,3.536280827799093
2018-03-28,2.856640557783097
2018-03-29,5.199101778316386
2018-03-30,1.9279882255686125
2018-03-31,1.6385853515326796
2018-04-01,1.254902192495465
