,CORR,MFB,FAC2,CORR_i,MFB_i,FAC2_i
Ispra,0.71,-0.11,56.32,0.72,0.43,46.43
Montseny,0.49,1.02,21.08,0.48,1.4,4.27
OPE,0.72,0.29,74.11,0.73,0.87,27.83
Payerne,0.63,-0.56,51.23,0.63,0.04,68.77
Rigi,0.47,0.27,67.32,0.47,0.83,37.43
Paris_SIRTA,0.74,0.27,67.77,0.74,0.83,33.61
Athens_Demokritos,0.65,-0.23,80.21,0.69,0.32,73.5
Barcelona_PalauReial,0.51,0.42,66.18,0.5,0.93,25.74
Marseille,0.38,-0.55,56.94,0.54,-0.09,81.02
Krakow,0.57,-0.21,52.16,0.57,0.33,46.76
Helsinki,0.67,-0.0,83.94,0.62,0.58,54.74
Hyytiala,0.33,0.28,62.19,0.32,0.82,38.52
