,CORR,MFB,FAC2,CORR_i,MFB_i,FAC2_i
Ispra,0.72,0.16,54.95,0.72,0.43,46.43
Montseny,0.48,0.47,55.56,0.48,1.4,4.27
OPE,0.74,0.14,83.17,0.73,0.87,27.83
Payerne,0.64,0.11,69.32,0.63,0.04,68.77
Rigi,0.49,-0.15,67.6,0.47,0.83,37.43
Paris_SIRTA,0.74,0.1,71.63,0.74,0.83,33.61
Athens_Demokritos,0.7,-0.14,84.45,0.69,0.32,73.5
Barcelona_PalauReial,0.58,0.28,80.15,0.5,0.93,25.74
Marseille,0.53,-0.1,76.77,0.54,-0.09,81.02
Krakow,0.57,-0.29,52.88,0.57,0.33,46.76
Helsinki,0.67,0.15,81.75,0.62,0.58,54.74
Hyytiala,0.34,0.17,64.66,0.32,0.82,38.52
